Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Device Statistics (https://www.gov.uk/government/statistics/electric-vehicle-charging-device-statistics-july-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCD_01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Publicly available electric vehicle charging devices at all speeds by local authority, from October 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA / Region Code,Local Authority / Region Name,Jul-21,,Apr-21,,Jan-21,,Oct-20,,Jul-20,,Apr-20,,Jan-20,,Oct-19,,,,,,,,,,,,,
,,Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",,,,,,,,,,,,
E06000058,"Bournemouth, Christchurch and Poole",77,19.4,73,18.5,74,18.7,72,18.2,70,17.7,70,17.7,63,15.9,58,14.7,,,,,,,,,,,,
E06000023,"Bristol, City of",117,25.1,106,22.9,103,22.2,110,23.7,110,23.7,111,24.0,117,25.2,119,25.7,,,,,,,,,,,,
E06000052,Cornwall,248,43.3,242,42.5,227,39.9,219,38.4,205,36.0,202,35.7,171,30.2,153,27.0,,,,,,,,,,,,
E06000059,Dorset,112,29.5,104,27.5,90,23.8,87,23.0,81,21.4,80,21.2,69,18.3,63,16.7,,,,,,,,,,,,
E06000053,Isles of Scilly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,
E06000024,North Somerset,89,41.3,88,40.9,87,40.5,88,40.9,84,39.1,81,37.9,97,45.3,86,40.2,,,,,,,,,,,,
E06000026,Plymouth,74,28.2,74,28.2,71,27.1,70,26.7,67,25.6,64,24.3,52,19.8,41,15.6,,,,,,,,,,,,
E06000025,South Gloucestershire,98,34.0,86,30.2,75,26.3,64,22.4,58,20.3,59,20.9,63,22.3,57,20.2,,,,,,,,,,,,
E06000030,Swindon,45,20.2,46,20.7,42,18.9,43,19.4,42,18.9,41,18.5,26,11.7,23,10.4,,,,,,,,,,,,
E06000027,Torbay,25,18.4,24,17.6,24,17.6,25,18.3,23,16.9,20,14.7,19,14.0,9,6.6,,,,,,,,,,,,
E06000054,Wiltshire,140,27.8,147,29.4,140,28.0,120,24.0,110,22.0,110,22.1,101,20.3,96,19.3,,,,,,,,,,,,
E10000008,Devon,279,34.4,265,33.0,248,30.9,243,30.3,222,27.7,221,27.8,189,23.8,174,21.9,,,,,,,,,,,,
E07000040,East Devon,59,39.8,58,39.6,49,33.5,47,32.1,45,30.8,44,30.5,35,24.3,31,21.5,,,,,,,,,,,,
E07000041,Exeter,44,33.0,39,29.7,40,30.4,39,29.7,35,26.6,35,26.8,34,26.1,28,21.5,,,,,,,,,,,,
E07000042,Mid Devon,27,32.4,26,31.6,23,27.9,22,26.7,16,19.4,16,19.6,16,19.6,15,18.4,,,,,,,,,,,,
E07000043,North Devon,49,49.9,44,45.3,41,42.2,42,43.2,39,40.1,40,41.6,35,36.4,32,33.3,,,,,,,,,,,,
E07000044,South Hams,29,33.0,29,33.3,29,33.3,28,32.2,28,32.2,28,32.5,26,30.2,23,26.7,,,,,,,,,,,,
E07000045,Teignbridge,25,18.5,24,17.9,23,17.1,21,15.7,18,13.4,17,12.8,8,6.0,12,9.0,,,,,,,,,,,,
E07000046,Torridge,24,34.9,24,35.2,22,32.2,23,33.7,22,32.2,22,32.3,20,29.4,20,29.4,,,,,,,,,,,,
E07000047,West Devon,22,39.2,21,37.6,21,37.6,21,37.6,19,34.1,19,34.2,15,27.0,13,23.4,,,,,,,,,,,,
E10000013,Gloucestershire,198,30.9,185,29.0,184,28.9,181,28.4,170,26.7,169,26.7,157,24.8,136,21.5,,,,,,,,,,,,
E07000078,Cheltenham,33,28.4,36,31.0,32,27.5,31,26.7,29,24.9,29,24.8,26,22.2,26,22.2,,,,,,,,,,,,
E07000079,Cotswold,50,55.4,39,43.4,42,46.7,41,45.6,38,42.3,38,42.7,38,42.7,33,37.1,,,,,,,,,,,,
E07000080,Forest of Dean,16,18.4,16,18.4,16,18.4,13,15.0,12,13.8,12,13.9,12,13.9,9,10.4,,,,,,,,,,,,
E07000081,Gloucester,36,27.8,35,27.1,35,27.1,34,26.3,32,24.8,31,24.0,29,22.4,24,18.6,,,,,,,,,,,,
E07000082,Stroud,42,34.7,37,30.8,39,32.5,42,35.0,39,32.5,39,32.8,39,32.8,35,29.4,,,,,,,,,,,,
E07000083,Tewkesbury,21,21.7,22,23.2,20,21.0,20,21.0,20,21.0,20,21.6,13,14.0,9,9.7,,,,,,,,,,,,
E10000027,Somerset,153,27.1,140,24.9,128,22.8,122,21.7,116,20.6,113,20.2,107,19.1,86,15.4,,,,,,,,,,,,
E07000187,Mendip,36,31.0,33,28.5,31,26.8,30,26.0,31,26.8,31,27.0,29,25.2,21,18.3,,,,,,,,,,,,
E07000188,Sedgemoor,29,23.5,28,22.7,27,21.9,27,21.9,22,17.9,22,17.9,21,17.1,18,14.7,,,,,,,,,,,,
E07000246,Somerset West and Taunton,40,25.7,38,24.5,35,22.6,33,21.3,32,20.6,32,20.8,29,18.8,27,17.5,,,,,,,,,,,,
E07000189,South Somerset,48,28.5,41,24.4,35,20.8,32,19.0,31,18.4,28,16.7,28,16.7,20,11.9,,,,,,,,,,,,
W92000004,WALES,916,28.9,851,27.0,804,25.5,675,21.4,648,20.6,623,19.8,569,18.1,529,16.9,,,,,,,,,,,,
W06000001,Isle of Anglesey,54,76.7,52,74.2,47,67.1,46,65.7,43,61.4,40,57.2,35,50.0,35,50.0,,,,,,,,,,,,
W06000002,Gwynedd,73,58.3,65,52.2,62,49.8,61,49.0,60,48.2,59,47.5,58,46.7,56,45.1,,,,,,,,,,,,
W06000003,Conwy,34,28.8,34,29.0,32,27.3,32,27.3,30,25.6,27,23.0,21,17.9,21,17.9,,,,,,,,,,,,
W06000004,Denbighshire,19,19.7,16,16.7,16,16.7,14,14.6,14,14.6,12,12.6,11,11.5,10,10.5,,,,,,,,,,,,
W06000005,Flintshire,30,19.1,22,14.1,18,11.5,18,11.5,15,9.6,15,9.6,15,9.6,13,8.4,,,,,,,,,,,,
W06000006,Wrexham,30,22.0,29,21.3,25,18.4,25,18.4,22,16.2,22,16.2,13,9.5,13,9.5,,,,,,,,,,,,
W06000023,Powys,84,63.1,84,63.4,83,62.7,80,60.4,69,52.1,66,49.8,60,45.3,60,45.3,,,,,,,,,,,,
W06000008,Ceredigion,34,46.6,33,45.4,29,39.9,30,41.3,30,41.3,30,41.1,30,41.1,28,38.4,,,,,,,,,,,,
W06000009,Pembrokeshire,104,82.1,96,76.3,95,75.5,80,63.6,79,62.8,78,62.4,73,58.4,68,54.4,,,,,,,,,,,,
W06000010,Carmarthenshire,66,34.7,60,31.8,60,31.8,36,19.1,37,19.6,37,19.7,32,17.1,28,14.9,,,,,,,,,,,,
W06000011,Swansea,53,21.5,51,20.6,51,20.6,39,15.8,37,15.0,32,13.0,25,10.1,24,9.7,,,,,,,,,,,,
W06000012,Neath Port Talbot,12,8.3,11,7.7,10,7.0,8,5.6,7,4.9,7,4.9,9,6.3,8,5.6,,,,,,,,,,,,
W06000013,Bridgend,23,15.6,22,15.0,22,15.0,21,14.3,21,14.3,21,14.5,21,14.5,19,13.1,,,,,,,,,,,,
W06000014,The Vale of Glamorgan,18,13.3,18,13.5,14,10.5,14,10.5,14,10.5,11,8.3,7,5.3,7,5.3,,,,,,,,,,,,
W06000015,Cardiff,78,21.1,57,15.5,55,15.0,52,14.2,51,13.9,51,14.0,50,13.7,45,12.4,,,,,,,,,,,,
W06000016,Rhondda Cynon Taf,14,5.8,13,5.4,13,5.4,13,5.4,16,6.6,16,6.7,11,4.6,8,3.3,,,,,,,,,,,,
W06000024,Merthyr Tydfil,8,13.2,8,13.3,8,13.3,8,13.3,8,13.3,8,13.3,7,11.6,5,8.3,,,,,,,,,,,,
W06000018,Caerphilly,39,21.5,38,21.0,29,16.0,16,8.8,14,7.7,12,6.6,11,6.1,7,3.9,,,,,,,,,,,,
W06000019,Blaenau Gwent,18,25.7,16,22.9,16,22.9,8,11.5,8,11.5,8,11.5,8,11.5,5,7.2,,,,,,,,,,,,
W06000020,Torfaen,27,28.5,27,28.7,27,28.7,8,8.5,8,8.5,8,8.6,8,8.6,7,7.5,,,,,,,,,,,,
W06000021,Monmouthshire,49,51.5,50,52.9,44,46.5,38,40.2,37,39.1,35,37.2,35,37.2,35,37.2,,,,,,,,,,,,
W06000022,Newport,49,31.3,49,31.7,48,31.0,28,18.1,28,18.1,28,18.3,29,18.9,27,17.6,,,,,,,,,,,,
S92000003,SCOTLAND,"2,565",46.9,"2,351",43.0,"2,192",40.1,"2,038",37.3,"1,910",35.0,"2,040",37.5,"1,922",35.3,"1,743",32.1,,,,,,,,,,,,
S12000033,Aberdeen City,103,45.0,104,45.5,97,42.4,91,39.8,91,39.8,96,42.2,83,36.5,77,32.1,,,,,,,,,,,,
S12000034,Aberdeenshire,108,41.4,102,39.0,98,37.5,81,31.0,76,29.1,80,30.6,73,27.9,71,24.9,,,,,,,,,,,,
S12000041,Angus,76,65.6,71,61.1,61,52.5,60,51.6,60,51.6,66,56.9,59,50.8,54,46.5,,,,,,,,,,,,
S12000035,Argyll & Bute,82,96.0,78,90.8,70,81.5,69,80.4,65,75.7,64,74.2,49,56.8,46,51.0,,,,,,,,,,,,
S12000036,City of Edinburgh,128,24.3,125,23.8,117,22.3,117,22.3,113,21.5,124,23.9,120,23.1,112,20.8,,,,,,,,,,,,
S12000005,Clackmannanshire,23,44.8,20,38.8,20,38.8,19,36.9,19,36.9,22,42.8,19,37.0,17,33.1,,,,,,,,,,,,
S12000006,Dumfries & Galloway,101,68.1,90,60.5,86,57.8,81,54.4,76,51.1,76,51.1,70,47.0,58,30.9,,,,,,,,,,,,
S12000042,Dundee City,123,82.7,119,79.7,109,73.0,103,69.0,101,67.6,116,78.0,111,74.6,101,60.5,,,,,,,,,,,,
S12000008,East Ayrshire,65,53.5,61,50.0,55,45.1,44,36.1,43,35.2,45,36.9,40,32.8,32,17.2,,,,,,,,,,,,
S12000045,East Dunbartonshire,25,23.0,24,22.1,24,22.1,24,22.1,24,22.1,26,24.0,23,21.2,20,12.0,,,,,,,,,,,,
S12000010,East Lothian,121,112.1,109,101.8,108,100.8,103,96.2,67,62.6,65,61.4,57,53.9,56,47.3,,,,,,,,,,,,
S12000011,East Renfrewshire,25,26.0,25,26.2,23,24.1,23,24.1,21,22.0,24,25.2,24,25.2,23,22.1,,,,,,,,,,,,
S12000014,Falkirk,51,31.8,48,29.8,43,26.7,41,25.5,37,23.0,27,16.8,26,16.2,23,12.5,,,,,,,,,,,,
S12000047,Fife,112,29.9,105,28.1,93,24.9,93,24.9,93,24.9,100,26.9,94,25.3,89,20.7,,,,,,,,,,,,
S12000049,Glasgow City,199,31.3,197,31.1,188,29.7,189,29.9,174,27.5,169,27.0,165,26.3,140,19.0,,,,,,,,,,,,
S12000017,Highland,211,89.6,186,78.9,185,78.4,152,64.5,141,59.8,143,60.7,128,54.3,125,44.6,,,,,,,,,,,,
S12000018,Inverclyde,32,41.5,24,30.8,22,28.3,22,28.3,22,28.3,19,24.3,19,24.3,17,24.3,,,,,,,,,,,,
S12000019,Midlothian,60,64.4,51,55.2,42,45.4,38,41.1,34,36.8,36,39.4,38,41.6,37,35.0,,,,,,,,,,,,
S12000020,Moray,36,37.6,33,34.4,33,34.4,32,33.4,32,33.4,31,32.5,32,33.5,30,29.3,,,,,,,,,,,,
S12000013,Na h-Eileanan Siar,27,101.9,26,97.3,25,93.6,24,89.8,24,89.8,30,111.8,30,111.8,30,100.6,,,,,,,,,,,,
S12000021,North Ayrshire,50,37.2,48,35.6,42,31.2,39,28.9,39,28.9,40,29.6,38,28.1,35,22.2,,,,,,,,,,,,
S12000050,North Lanarkshire,151,44.3,124,36.3,102,29.9,84,24.6,74,21.7,77,22.6,77,22.6,62,16.2,,,,,,,,,,,,
S12000023,Orkney Islands,36,160.7,32,143.7,32,143.7,32,143.7,29,130.2,35,157.7,34,153.2,24,108.2,,,,,,,,,,,,
S12000048,Perth & Kinross,117,77.0,106,69.8,104,68.4,100,65.8,95,62.5,100,66.1,96,63.5,92,51.6,,,,,,,,,,,,
S12000038,Renfrewshire,71,39.6,68,38.0,65,36.3,63,35.2,56,31.3,57,32.1,49,27.6,50,23.6,,,,,,,,,,,,
S12000026,Scottish Borders,49,42.5,50,43.3,48,41.6,41,35.5,41,35.5,44,38.2,47,40.8,42,36.4,,,,,,,,,,,,
S12000027,Shetland Islands,20,87.5,19,82.9,17,74.2,17,74.2,17,74.2,14,60.9,10,43.5,10,73.9,,,,,,,,,,,,
S12000028,South Ayrshire,54,48.2,49,43.5,45,40.0,39,34.6,38,33.7,45,40.0,46,40.9,45,30.2,,,,,,,,,,,,
S12000029,South Lanarkshire,142,44.3,117,36.5,101,31.5,82,25.6,79,24.6,137,42.9,140,43.9,120,36.4,,,,,,,,,,,,
S12000030,Stirling,97,103.1,71,75.4,69,73.2,68,72.2,66,70.1,65,68.9,63,66.8,52,56.2,,,,,,,,,,,,
S12000039,West Dunbartonshire,24,27.2,24,27.0,24,27.0,24,27.0,24,27.0,26,29.2,25,28.0,19,21.3,,,,,,,,,,,,
S12000040,West Lothian,46,25.0,45,24.6,44,24.0,43,23.5,39,21.3,41,22.5,37,20.3,34,18.7,,,,,,,,,,,,
N92000002,NORTHERN IRELAND,330,17.4,327,17.3,320,16.9,318,16.8,312,16.5,305,16.2,295,15.7,295,15.7,,,,,,,,,,,,
N09000001,Antrim and Newtownabbey,37,25.7,36,25.1,36,25.1,34,23.7,34,23.7,33,23.2,33,23.2,33,23.2,,,,,,,,,,,,
N09000011,Ards and North Down,19,11.7,18,11.1,18,11.1,17,10.5,17,10.5,17,10.6,17,10.6,17,10.6,,,,,,,,,,,,
N09000002,"Armagh City, Banbridge and Craigavon",31,14.3,30,13.9,30,13.9,30,13.9,30,13.9,30,14.0,30,14.0,30,14.0,,,,,,,,,,,,
N09000003,Belfast,52,15.2,53,15.4,51,14.8,49,14.3,47,13.7,47,13.7,42,12.3,42,12.0,,,,,,,,,,,,
N09000004,Causeway Coast and Glens,28,19.3,29,20.0,29,20.0,32,22.1,28,19.3,27,18.7,23,15.9,23,17.3,,,,,,,,,,,,
N09000005,Derry City and Strabane,26,17.2,26,17.2,27,17.8,27,17.8,27,17.8,24,15.9,23,15.3,23,17.3,,,,,,,,,,,,
N09000006,Fermanagh and Omagh,38,32.4,38,32.4,38,32.4,38,32.4,38,32.4,38,32.5,38,32.5,38,32.5,,,,,,,,,,,,
N09000007,Lisburn and Castlereagh,16,10.9,16,11.0,11,7.5,11,7.5,11,7.5,11,7.6,11,7.6,11,7.6,,,,,,,,,,,,
N09000008,Mid and East Antrim,28,20.1,27,19.4,27,19.4,27,19.4,27,19.4,25,18.0,25,18.0,24,18.7,,,,,,,,,,,,
N09000009,Mid Ulster,24,16.1,23,15.5,22,14.8,22,14.8,22,14.8,22,14.9,22,14.9,23,14.9,,,,,,,,,,,,
N09000010,"Newry, Mourne and Down",31,17.1,31,17.1,31,17.1,31,17.1,31,17.1,31,17.2,31,17.2,31,16.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,Last updated: August 2021,,,,,,,,,,,,
"Charging device location data is sourced from the electric vehicle charging platform Zap-map and represents devices reported as operational at midnight, 1 July 2021.",,,,,,,,,,,,,,,,,Next update: October 2021,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The table shows the total number of charging devices in each Local Authority. A charging device may have a number of connectors of varying speeds, however not all can charge more than one vehicle at the same time. It is not possible to identify whether individual devices have this capability. ",,,,,,,,,,,,,,,,,mailto:environment.stats@dft.gov.uk,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‘Total devices’ represent publicly available charging devices at all speeds. ‘Rapid devices’ are those whose fastest connector is rated at 43kW or above. A device can have a number of connectors of varying speeds.,,,,,,,,,,,,,,,,,Explore interactive data,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The most recent population figures by Local Authority are sourced from the Office for National Statistics Population estimates for mid-year 2020. For quarters from July 2020 to April 2021, the population figures were sourced from 2019 estimates. For quarters from April 2020 previous, the population figures were ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sourced from the 2018 estimates. The Local Authority administrative geographies are used from April 2021. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dashes (-) are used represent where figures are not available, since the Local Authority/County did not exist for the quarter. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Local authority breakdowns prior to October 2019 are not available. We are able to estimate previous UK total device numbers using the October 2019 data, however the data supplier has advised against breaking these figures down by local authority. Devices available in previous ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quarters may have been decommissioned or become temporarily unavailable but we do not know where, and therefore any geographical breakdowns could be skewed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
