Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Device Statistics (https://www.gov.uk/government/statistics/electric-vehicle-charging-device-statistics-july-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCD_01b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Publicly available electric vehicle charging rapid devices by local authority, from October 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA / Region Code,Local Authority / Region Name,Jul-21,,Apr-21,,Jan-21,,Oct-20,,Jul-20,,Apr-20,,Jan-20,,Oct-19,,,,,,,,,,,,,,,
,,Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",,,,,,,,,,,,,,
E06000031,Peterborough,14,6.9,15,7.4,14,6.9,11,5.4,11,5.4,9,4.5,9,4.5,9,4.5,,,,,,,,,,,,,,
E06000033,Southend-on-Sea,3,1.6,3,1.6,2,1.1,2,1.1,2,1.1,2,1.1,2,1.1,1,0.5,,,,,,,,,,,,,,
E06000034,Thurrock,10,5.7,11,6.3,10,5.7,10,5.7,10,5.7,10,5.8,9,5.2,9,5.2,,,,,,,,,,,,,,
E10000003,Cambridgeshire,50,7.6,36,5.5,32,4.9,32,4.9,24,3.7,18,2.8,16,2.5,16,2.5,,,,,,,,,,,,,,
E07000008,Cambridge,22,17.6,8,6.4,8,6.4,8,6.4,8,6.4,8,6.4,6,4.8,6,4.8,,,,,,,,,,,,,,
E07000009,East Cambridgeshire,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2,2,2.2,,,,,,,,,,,,,,
E07000010,Fenland,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000011,Huntingdonshire,14,7.8,14,7.9,10,5.6,10,5.6,8,4.5,3,1.7,3,1.7,3,1.7,,,,,,,,,,,,,,
E07000012,South Cambridgeshire,11,6.8,11,6.9,11,6.9,11,6.9,6,3.8,5,3.2,5,3.2,5,3.2,,,,,,,,,,,,,,
E10000012,Essex,109,7.3,96,6.4,88,5.9,62,4.2,43,2.9,44,3.0,37,2.5,34,2.3,,,,,,,,,,,,,,
E07000066,Basildon,10,5.3,9,4.8,6,3.2,5,2.7,2,1.1,2,1.1,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000067,Braintree,35,22.9,23,15.1,23,15.1,5,3.3,5,3.3,5,3.3,5,3.3,4,2.6,,,,,,,,,,,,,,
E07000068,Brentwood,2,2.6,2,2.6,1,1.3,1,1.3,1,1.3,1,1.3,1,1.3,1,1.3,,,,,,,,,,,,,,
E07000069,Castle Point,3,3.3,3,3.3,2,2.2,2,2.2,1,1.1,1,1.1,1,1.1,1,1.1,,,,,,,,,,,,,,
E07000070,Chelmsford,16,8.9,16,9.0,16,9.0,8,4.5,7,3.9,7,4.0,6,3.4,6,3.4,,,,,,,,,,,,,,
E07000071,Colchester,19,9.6,19,9.8,19,9.8,20,10.3,8,4.1,8,4.2,7,3.6,5,2.6,,,,,,,,,,,,,,
E07000072,Epping Forest,9,6.8,9,6.8,8,6.1,8,6.1,6,4.6,6,4.6,6,4.6,6,4.6,,,,,,,,,,,,,,
E07000073,Harlow,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000074,Maldon,1,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1,1.6,1,1.6,1,1.6,,,,,,,,,,,,,,
E07000075,Rochford,4,4.6,4,4.6,2,2.3,2,2.3,2,2.3,2,2.3,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000076,Tendring,2,1.4,2,1.4,2,1.4,2,1.4,2,1.4,3,2.1,2,1.4,2,1.4,,,,,,,,,,,,,,
E07000077,Uttlesford,8,8.6,8,8.8,8,8.8,8,8.8,8,8.8,8,9.0,8,9.0,8,9.0,,,,,,,,,,,,,,
E10000015,Hertfordshire,60,5.0,55,4.6,53,4.5,50,4.2,43,3.6,42,3.5,37,3.1,34,2.9,,,,,,,,,,,,,,
E07000095,Broxbourne,3,3.1,2,2.1,2,2.1,2,2.1,2,2.1,2,2.1,1,1.0,1,1.0,,,,,,,,,,,,,,
E07000096,Dacorum,4,2.6,4,2.6,4,2.6,4,2.6,4,2.6,4,2.6,3,1.9,2,1.3,,,,,,,,,,,,,,
E07000242,East Hertfordshire,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000098,Hertsmere,19,18.0,17,16.2,17,16.2,17,16.2,16,15.2,16,15.4,15,14.4,15,14.4,,,,,,,,,,,,,,
E07000099,North Hertfordshire,10,7.5,8,6.0,8,6.0,8,6.0,4,3.0,4,3.0,4,3.0,3,2.3,,,,,,,,,,,,,,
E07000240,St Albans,6,4.0,6,4.0,6,4.0,6,4.0,6,4.0,6,4.1,5,3.4,5,3.4,,,,,,,,,,,,,,
E07000243,Stevenage,1,1.1,1,1.1,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000102,Three Rivers,5,5.3,4,4.3,4,4.3,4,4.3,2,2.1,2,2.1,1,1.1,1,1.1,,,,,,,,,,,,,,
E07000103,Watford,7,7.2,8,8.3,7,7.2,5,5.2,5,5.2,4,4.1,4,4.1,4,4.1,,,,,,,,,,,,,,
E07000241,Welwyn Hatfield,5,4.0,5,4.1,4,3.3,4,3.3,4,3.3,4,3.3,4,3.3,3,2.4,,,,,,,,,,,,,,
E10000020,Norfolk,55,6.0,53,5.8,33,3.6,34,3.7,31,3.4,31,3.4,30,3.3,24,2.7,,,,,,,,,,,,,,
E07000143,Breckland,17,12.0,16,11.4,8,5.7,9,6.4,8,5.7,8,5.7,8,5.7,7,5.0,,,,,,,,,,,,,,
E07000144,Broadland,6,4.5,6,4.6,5,3.8,5,3.8,3,2.3,3,2.3,3,2.3,2,1.5,,,,,,,,,,,,,,
E07000145,Great Yarmouth,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,,,,,,,,,,,,,,
E07000146,King's Lynn and West Norfolk,15,9.9,15,9.9,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,4,2.6,,,,,,,,,,,,,,
E07000147,North Norfolk,3,2.9,3,2.9,3,2.9,3,2.9,3,2.9,3,2.9,2,1.9,1,1.0,,,,,,,,,,,,,,
E07000148,Norwich,7,4.9,6,4.3,6,4.3,6,4.3,6,4.3,6,4.3,6,4.3,6,4.3,,,,,,,,,,,,,,
E07000149,South Norfolk,5,3.5,5,3.5,4,2.8,4,2.8,4,2.8,4,2.9,4,2.9,2,1.4,,,,,,,,,,,,,,
E10000029,Suffolk,37,4.9,37,4.9,37,4.9,32,4.2,29,3.8,29,3.8,28,3.7,25,3.3,,,,,,,,,,,,,,
E07000200,Babergh,4,4.3,4,4.3,4,4.3,4,4.3,4,4.3,4,4.4,4,4.4,3,3.3,,,,,,,,,,,,,,
E07000244,East Suffolk,10,4.0,10,4.0,10,4.0,9,3.6,7,2.8,7,2.8,6,2.4,4,1.6,,,,,,,,,,,,,,
E07000202,Ipswich,4,2.9,4,2.9,4,2.9,3,2.2,3,2.2,3,2.2,3,2.2,3,2.2,,,,,,,,,,,,,,
E07000203,Mid Suffolk,4,3.8,4,3.9,4,3.9,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,,,,,,,,,,
E07000245,West Suffolk,15,8.5,15,8.4,15,8.4,15,8.4,14,7.8,14,7.8,14,7.8,14,7.8,,,,,,,,,,,,,,
E12000007,LONDON,615,6.8,579,6.5,515,5.7,465,5.2,437,4.9,430,4.8,385,4.3,323,3.6,,,,,,,,,,,,,,
E13000001,Inner London,261,7.1,256,7.0,224,6.2,204,5.6,193,5.3,188,5.2,169,4.7,134,3.7,,,,,,,,,,,,,,
E09000007,Camden,11,3.9,14,5.2,9,3.3,6,2.2,5,1.9,5,1.9,5,1.9,4,1.5,,,,,,,,,,,,,,
E09000001,City of London,1,9.1,1,10.3,1,10.3,1,10.3,1,10.3,1,11.5,1,11.5,1,11.5,,,,,,,,,,,,,,
E09000012,Hackney,18,6.4,18,6.4,17,6.0,15,5.3,12,4.3,12,4.3,12,4.3,12,4.3,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,39,21.2,41,22.1,37,20.0,37,20.0,34,18.4,34,18.3,28,15.1,12,6.5,,,,,,,,,,,,,,
E09000014,Haringey,15,5.6,15,5.6,15,5.6,11,4.1,12,4.5,11,4.1,11,4.1,7,2.6,,,,,,,,,,,,,,
E09000019,Islington,23,9.3,23,9.5,21,8.7,21,8.7,20,8.2,20,8.4,18,7.5,14,5.9,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,5,3.2,5,3.2,5,3.2,5,3.2,5,3.2,5,3.2,2,1.3,2,1.3,,,,,,,,,,,,,,
E09000022,Lambeth,19,5.9,18,5.5,19,5.8,18,5.5,18,5.5,18,5.5,15,4.6,9,2.8,,,,,,,,,,,,,,
E09000023,Lewisham,21,6.9,17,5.6,12,3.9,12,3.9,12,3.9,10,3.3,7,2.3,7,2.3,,,,,,,,,,,,,,
E09000025,Newham,13,3.7,14,4.0,14,4.0,15,4.2,13,3.7,11,3.1,10,2.8,5,1.4,,,,,,,,,,,,,,
E09000028,Southwark,23,7.2,24,7.5,15,4.7,14,4.4,13,4.1,13,4.1,12,3.8,13,4.1,,,,,,,,,,,,,,
E09000030,Tower Hamlets,20,6.0,12,3.7,11,3.4,11,3.4,11,3.4,11,3.5,12,3.8,11,3.5,,,,,,,,,,,,,,
E09000032,Wandsworth,13,3.9,14,4.2,13,3.9,13,3.9,13,3.9,13,4.0,13,4.0,15,4.6,,,,,,,,,,,,,,
E09000033,Westminster,40,14.8,40,15.3,35,13.4,25,9.6,24,9.2,24,9.4,23,9.0,22,8.6,,,,,,,,,,,,,,
E13000002,Outer London,354,6.6,323,6.1,291,5.5,261,4.9,244,4.6,242,4.6,216,4.1,189,3.6,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,9,4.2,9,4.2,5,2.3,2,0.9,2,0.9,2,0.9,1,0.5,1,0.5,,,,,,,,,,,,,,
E09000003,Barnet,23,5.8,22,5.6,22,5.6,22,5.6,20,5.1,20,5.1,20,5.1,21,5.4,,,,,,,,,,,,,,
E09000004,Bexley,13,5.2,13,5.2,12,4.8,8,3.2,8,3.2,8,3.2,8,3.2,7,2.8,,,,,,,,,,,,,,
E09000005,Brent,19,5.8,19,5.8,16,4.9,16,4.9,16,4.9,16,4.8,14,4.2,14,4.2,,,,,,,,,,,,,,
E09000006,Bromley,16,4.8,15,4.5,14,4.2,14,4.2,11,3.3,10,3.0,8,2.4,8,2.4,,,,,,,,,,,,,,
E09000008,Croydon,22,5.7,23,5.9,24,6.2,23,5.9,20,5.2,20,5.2,19,4.9,18,4.7,,,,,,,,,,,,,,
E09000009,Ealing,37,10.9,37,10.8,36,10.5,31,9.1,31,9.1,31,9.1,29,8.5,12,3.5,,,,,,,,,,,,,,
E09000010,Enfield,20,6.0,16,4.8,15,4.5,14,4.2,14,4.2,14,4.2,12,3.6,7,2.1,,,,,,,,,,,,,,
E09000011,Greenwich,32,11.1,32,11.1,31,10.8,30,10.4,28,9.7,28,9.8,15,5.2,15,5.2,,,,,,,,,,,,,,
E09000015,Harrow,8,3.2,8,3.2,5,2.0,4,1.6,5,2.0,4,1.6,4,1.6,4,1.6,,,,,,,,,,,,,,
E09000016,Havering,14,5.4,14,5.4,9,3.5,7,2.7,6,2.3,6,2.3,6,2.3,6,2.3,,,,,,,,,,,,,,
E09000017,Hillingdon,43,13.9,32,10.4,28,9.1,28,9.1,29,9.5,29,9.5,29,9.5,26,8.5,,,,,,,,,,,,,,
E09000018,Hounslow,23,8.5,20,7.4,20,7.4,19,7.0,17,6.3,17,6.3,16,5.9,16,5.9,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,8,4.5,8,4.5,8,4.5,4,2.3,2,1.1,2,1.1,2,1.1,2,1.1,,,,,,,,,,,,,,
E09000024,Merton,17,8.2,13,6.3,10,4.8,7,3.4,6,2.9,6,2.9,6,2.9,6,2.9,,,,,,,,,,,,,,
E09000026,Redbridge,24,7.9,18,5.9,18,5.9,16,5.2,16,5.2,16,5.3,15,4.9,14,4.6,,,,,,,,,,,,,,
E09000027,Richmond upon Thames,8,4.0,7,3.5,7,3.5,6,3.0,5,2.5,5,2.5,5,2.5,5,2.5,,,,,,,,,,,,,,
E09000029,Sutton,10,4.8,10,4.8,7,3.4,6,2.9,6,2.9,6,2.9,6,2.9,6,2.9,,,,,,,,,,,,,,
E09000031,Waltham Forest,8,2.9,7,2.5,4,1.4,4,1.4,2,0.7,2,0.7,1,0.4,1,0.4,,,,,,,,,,,,,,
E12000008,SOUTH EAST,711,7.7,703,7.7,636,6.9,573,6.2,532,5.8,514,5.6,488,5.3,469,5.1,,,,,,,,,,,,,,
E06000036,Bracknell Forest,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,,,,,,,,,,,,,,
E06000043,Brighton and Hove,10,3.4,4,1.4,2,0.7,3,1.0,1,0.3,1,0.3,1,0.3,1,0.3,,,,,,,,,,,,,,
E06000046,Isle of Wight,3,2.1,2,1.4,2,1.4,2,1.4,3,2.1,3,2.1,3,2.1,2,1.4,,,,,,,,,,,,,,
E06000035,Medway,7,2.5,7,2.5,5,1.8,6,2.2,6,2.2,6,2.2,5,1.8,5,1.8,,,,,,,,,,,,,,
E06000042,Milton Keynes,117,43.3,116,43.0,114,42.3,93,34.5,89,33.0,89,33.1,88,32.8,88,32.8,,,,,,,,,,,,,,
E06000044,Portsmouth,5,2.3,3,1.4,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,,,,,,,,,,,,,,
E06000038,Reading,10,6.2,8,4.9,8,4.9,8,4.9,7,4.3,7,4.3,6,3.7,11,6.7,,,,,,,,,,,,,,
E06000039,Slough,31,20.7,30,20.1,29,19.4,21,14.0,21,14.0,21,14.1,21,14.1,13,8.7,,,,,,,,,,,,,,
E06000045,Southampton,5,2.0,6,2.4,5,2.0,5,2.0,4,1.6,4,1.6,3,1.2,3,1.2,,,,,,,,,,,,,,
E06000037,West Berkshire,34,21.5,31,19.6,29,18.3,29,18.3,29,18.3,29,18.3,28,17.7,28,17.7,,,,,,,,,,,,,,
E06000040,Windsor and Maidenhead,2,1.3,1,0.7,1,0.7,1,0.7,1,0.7,1,0.7,1,0.7,1,0.7,,,,,,,,,,,,,,
E06000041,Wokingham,35,20.1,35,20.5,34,19.9,32,18.7,31,18.1,31,18.5,31,18.5,27,16.1,,,,,,,,,,,,,,
E06000060,Buckinghamshire,33,6.0,33,6.1,27,5.0,25,4.6,22,4.0,22,4.1,17,3.1,16,3.0,,,,,,,,,,,,,,
E10000011,East Sussex,21,3.8,19,3.4,18,3.2,19,3.4,18,3.2,17,3.1,17,3.1,16,2.9,,,,,,,,,,,,,,
E07000061,Eastbourne,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,,,,,,,,,,,,,,
E07000062,Hastings,4,4.3,4,4.3,4,4.3,5,5.4,4,4.3,4,4.3,4,4.3,4,4.3,,,,,,,,,,,,,,
E07000063,Lewes,5,4.8,5,4.8,5,4.8,5,4.8,5,4.8,4,3.9,4,3.9,3,2.9,,,,,,,,,,,,,,
E07000064,Rother,2,2.1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,,,,,,,,,,
E07000065,Wealden,5,3.1,4,2.5,3,1.9,3,1.9,3,1.9,3,1.9,3,1.9,3,1.9,,,,,,,,,,,,,,
E10000014,Hampshire,108,7.8,113,8.2,109,7.9,107,7.7,104,7.5,100,7.3,92,6.7,93,6.8,,,,,,,,,,,,,,
E07000084,Basingstoke and Deane,11,6.2,11,6.2,9,5.1,7,4.0,8,4.5,7,4.0,7,4.0,9,5.1,,,,,,,,,,,,,,
E07000085,East Hampshire,16,12.9,16,13.1,16,13.1,16,13.1,16,13.1,15,12.4,15,12.4,15,12.4,,,,,,,,,,,,,,
E07000086,Eastleigh,3,2.2,3,2.2,3,2.2,3,2.2,2,1.5,2,1.5,2,1.5,2,1.5,,,,,,,,,,,,,,
E07000087,Fareham,6,5.2,6,5.2,6,5.2,6,5.2,6,5.2,6,5.2,6,5.2,6,5.2,,,,,,,,,,,,,,
E07000088,Gosport,3,3.5,3,3.5,3,3.5,3,3.5,3,3.5,3,3.5,3,3.5,3,3.5,,,,,,,,,,,,,,
E07000089,Hart,19,19.5,19,19.6,19,19.6,19,19.6,19,19.6,19,19.7,15,15.6,13,13.5,,,,,,,,,,,,,,
E07000090,Havant,16,12.7,16,12.7,16,12.7,16,12.7,16,12.7,16,12.7,14,11.1,14,11.1,,,,,,,,,,,,,,
E07000091,New Forest,4,2.2,5,2.8,5,2.8,5,2.8,3,1.7,3,1.7,3,1.7,3,1.7,,,,,,,,,,,,,,
E07000092,Rushmoor,6,6.4,6,6.3,5,5.3,5,5.3,4,4.2,4,4.2,4,4.2,4,4.2,,,,,,,,,,,,,,
E07000093,Test Valley,9,7.1,11,8.7,11,8.7,11,8.7,11,8.7,10,8.0,8,6.4,9,7.2,,,,,,,,,,,,,,
E07000094,Winchester,15,11.9,17,13.6,16,12.8,16,12.8,16,12.8,15,12.1,15,12.1,15,12.1,,,,,,,,,,,,,,
E10000016,Kent,108,6.8,111,7.0,99,6.3,80,5.1,71,4.5,69,4.4,67,4.3,64,4.1,,,,,,,,,,,,,,
E07000105,Ashford,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,2,1.5,,,,,,,,,,,,,,
E07000106,Canterbury,3,1.8,4,2.4,3,1.8,3,1.8,2,1.2,2,1.2,1,0.6,1,0.6,,,,,,,,,,,,,,
E07000107,Dartford,26,22.8,30,26.6,24,21.3,11,9.8,11,9.8,11,10.0,11,10.0,9,8.2,,,,,,,,,,,,,,
E07000108,Dover,5,4.2,2,1.7,2,1.7,2,1.7,2,1.7,2,1.7,2,1.7,2,1.7,,,,,,,,,,,,,,
E07000112,Folkestone and Hythe,20,17.6,20,17.7,16,14.2,15,13.3,15,13.3,15,13.3,15,13.3,15,13.3,,,,,,,,,,,,,,
E07000109,Gravesham,2,1.9,2,1.9,2,1.9,2,1.9,2,1.9,2,1.9,2,1.9,2,1.9,,,,,,,,,,,,,,
E07000110,Maidstone,22,12.7,22,12.8,22,12.8,22,12.8,17,9.9,17,10.0,16,9.4,15,8.8,,,,,,,,,,,,,,
E07000111,Sevenoaks,5,4.1,5,4.1,5,4.1,5,4.1,5,4.1,5,4.2,5,4.2,5,4.2,,,,,,,,,,,,,,
E07000113,Swale,3,2.0,3,2.0,3,2.0,3,2.0,1,0.7,1,0.7,1,0.7,1,0.7,,,,,,,,,,,,,,
E07000114,Thanet,7,4.9,7,4.9,7,4.9,5,3.5,4,2.8,4,2.8,4,2.8,4,2.8,,,,,,,,,,,,,,
E07000115,Tonbridge and Malling,10,7.5,11,8.3,10,7.6,7,5.3,7,5.3,5,3.8,5,3.8,5,3.8,,,,,,,,,,,,,,
E07000116,Tunbridge Wells,3,2.5,3,2.5,3,2.5,3,2.5,3,2.5,3,2.5,3,2.5,3,2.5,,,,,,,,,,,,,,
E10000025,Oxfordshire,73,10.5,72,10.4,46,6.7,44,6.4,41,5.9,38,5.5,38,5.5,36,5.2,,,,,,,,,,,,,,
E07000177,Cherwell,30,19.8,30,19.9,10,6.6,9,6.0,7,4.7,7,4.7,7,4.7,6,4.0,,,,,,,,,,,,,,
E07000178,Oxford,5,3.3,5,3.3,5,3.3,5,3.3,4,2.6,4,2.6,4,2.6,2,1.3,,,,,,,,,,,,,,
E07000179,South Oxfordshire,21,14.6,21,14.8,21,14.8,20,14.1,20,14.1,20,14.2,20,14.2,20,14.2,,,,,,,,,,,,,,
E07000180,Vale of White Horse,11,8.0,11,8.1,5,3.7,5,3.7,5,3.7,2,1.5,2,1.5,4,3.0,,,,,,,,,,,,,,
E07000181,West Oxfordshire,6,5.4,5,4.5,5,4.5,5,4.5,5,4.5,5,4.6,5,4.6,4,3.6,,,,,,,,,,,,,,
E10000030,Surrey,67,5.6,68,5.7,66,5.5,63,5.3,53,4.4,49,4.1,44,3.7,41,3.4,,,,,,,,,,,,,,
E07000207,Elmbridge,22,16.0,22,16.1,21,15.4,21,15.4,16,11.7,14,10.2,14,10.2,14,10.2,,,,,,,,,,,,,,
E07000208,Epsom and Ewell,1,1.2,1,1.2,1,1.2,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E07000209,Guildford,4,2.7,4,2.7,4,2.7,3,2.0,2,1.3,2,1.4,2,1.4,2,1.4,,,,,,,,,,,,,,
E07000210,Mole Valley,4,4.6,4,4.6,4,4.6,2,2.3,2,2.3,2,2.3,2,2.3,1,1.1,,,,,,,,,,,,,,
E07000211,Reigate and Banstead,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,4,2.7,,,,,,,,,,,,,,
E07000212,Runnymede,4,4.4,4,4.5,4,4.5,4,4.5,4,4.5,4,4.5,4,4.5,4,4.5,,,,,,,,,,,,,,
E07000213,Spelthorne,6,6.0,7,7.0,7,7.0,7,7.0,7,7.0,6,6.0,3,3.0,3,3.0,,,,,,,,,,,,,,
E07000214,Surrey Heath,9,10.1,8,9.0,8,9.0,8,9.0,8,9.0,7,7.9,5,5.6,4,4.5,,,,,,,,,,,,,,
E07000215,Tandridge,6,6.8,8,9.1,8,9.1,8,9.1,6,6.8,6,6.9,6,6.9,6,6.9,,,,,,,,,,,,,,
E07000216,Waverley,6,4.7,5,4.0,4,3.2,4,3.2,4,3.2,4,3.2,4,3.2,3,2.4,,,,,,,,,,,,,,
E07000217,Woking,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E10000032,West Sussex,41,4.7,43,5.0,39,4.5,32,3.7,28,3.2,24,2.8,23,2.7,21,2.4,,,,,,,,,,,,,,
E07000223,Adur,3,4.7,3,4.7,3,4.7,3,4.7,3,4.7,2,3.1,1,1.6,0,0.0,,,,,,,,,,,,,,
E07000224,Arun,4,2.5,4,2.5,2,1.2,2,1.2,1,0.6,1,0.6,1,0.6,1,0.6,,,,,,,,,,,,,,
E07000225,Chichester,8,6.6,9,7.4,9,7.4,7,5.8,6,5.0,3,2.5,4,3.3,4,3.3,,,,,,,,,,,,,,
E07000226,Crawley,14,12.4,14,12.5,11,9.8,6,5.3,6,5.3,6,5.3,5,4.4,5,4.4,,,,,,,,,,,,,,
E07000227,Horsham,4,2.7,5,3.5,6,4.2,6,4.2,4,2.8,4,2.8,4,2.8,3,2.1,,,,,,,,,,,,,,
E07000228,Mid Sussex,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,5,3.3,,,,,,,,,,,,,,
E07000229,Worthing,3,2.7,3,2.7,3,2.7,3,2.7,3,2.7,3,2.7,3,2.7,3,2.7,,,,,,,,,,,,,,
E12000009,SOUTH WEST,375,6.6,359,6.4,344,6.1,306,5.4,278,4.9,272,4.9,248,4.4,216,3.9,,,,,,,,,,,,,,
E06000022,Bath and North East Somerset,3,1.5,3,1.6,3,1.6,3,1.6,3,1.6,3,1.6,1,0.5,1,0.5,,,,,,,,,,,,,,
E06000058,"Bournemouth, Christchurch and Poole",23,5.8,22,5.6,23,5.8,21,5.3,19,4.8,19,4.8,18,4.5,14,3.5,,,,,,,,,,,,,,
E06000023,"Bristol, City of",23,4.9,19,4.1,18,3.9,19,4.1,20,4.3,19,4.1,16,3.5,14,3.0,,,,,,,,,,,,,,
E06000052,Cornwall,34,5.9,34,6.0,33,5.8,28,4.9,27,4.7,27,4.8,28,4.9,27,4.8,,,,,,,,,,,,,,
E06000059,Dorset,19,5.0,17,4.5,15,4.0,14,3.7,12,3.2,12,3.2,11,2.9,8,2.1,,,,,,,,,,,,,,
E06000053,Isles of Scilly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E06000024,North Somerset,28,13.0,26,12.1,26,12.1,26,12.1,23,10.7,20,9.3,19,8.9,17,7.9,,,,,,,,,,,,,,
E06000026,Plymouth,9,3.4,8,3.1,8,3.1,8,3.1,7,2.7,7,2.7,7,2.7,4,1.5,,,,,,,,,,,,,,
E06000025,South Gloucestershire,41,14.2,29,10.2,28,9.8,24,8.4,23,8.1,24,8.5,18,6.4,14,5.0,,,,,,,,,,,,,,
E06000030,Swindon,12,5.4,13,5.9,11,5.0,11,5.0,10,4.5,10,4.5,7,3.2,5,2.3,,,,,,,,,,,,,,
E06000027,Torbay,5,3.7,5,3.7,5,3.7,5,3.7,3,2.2,3,2.2,2,1.5,2,1.5,,,,,,,,,,,,,,
E06000054,Wiltshire,39,7.7,39,7.8,37,7.4,17,3.4,16,3.2,16,3.2,16,3.2,15,3.0,,,,,,,,,,,,,,
E10000008,Devon,63,7.8,65,8.1,62,7.7,58,7.2,48,6.0,48,6.0,44,5.5,40,5.0,,,,,,,,,,,,,,
E07000040,East Devon,13,8.8,13,8.9,11,7.5,10,6.8,8,5.5,8,5.5,8,5.5,8,5.5,,,,,,,,,,,,,,
E07000041,Exeter,9,6.8,10,7.6,10,7.6,10,7.6,10,7.6,10,7.7,8,6.1,7,5.4,,,,,,,,,,,,,,
E07000042,Mid Devon,12,14.4,13,15.8,12,14.6,12,14.6,8,9.7,8,9.8,8,9.8,8,9.8,,,,,,,,,,,,,,
E07000043,North Devon,6,6.1,6,6.2,6,6.2,6,6.2,6,6.2,6,6.2,4,4.2,3,3.1,,,,,,,,,,,,,,
E07000044,South Hams,2,2.3,2,2.3,2,2.3,1,1.1,1,1.1,1,1.2,1,1.2,1,1.2,,,,,,,,,,,,,,
E07000045,Teignbridge,5,3.7,5,3.7,5,3.7,3,2.2,1,0.7,1,0.8,1,0.8,1,0.8,,,,,,,,,,,,,,
E07000046,Torridge,6,8.7,6,8.8,6,8.8,6,8.8,6,8.8,6,8.8,6,8.8,6,8.8,,,,,,,,,,,,,,
E07000047,West Devon,10,17.8,10,17.9,10,17.9,10,17.9,8,14.3,8,14.4,8,14.4,6,10.8,,,,,,,,,,,,,,
E10000013,Gloucestershire,47,7.3,51,8.0,51,8.0,50,7.8,46,7.2,45,7.1,44,6.9,42,6.6,,,,,,,,,,,,,,
E07000078,Cheltenham,6,5.2,7,6.0,5,4.3,5,4.3,3,2.6,3,2.6,3,2.6,3,2.6,,,,,,,,,,,,,,
E07000079,Cotswold,3,3.3,5,5.6,5,5.6,5,5.6,4,4.5,4,4.5,4,4.5,4,4.5,,,,,,,,,,,,,,
E07000080,Forest of Dean,4,4.6,4,4.6,4,4.6,3,3.5,2,2.3,2,2.3,2,2.3,1,1.2,,,,,,,,,,,,,,
E07000081,Gloucester,9,6.9,9,7.0,9,7.0,9,7.0,9,7.0,8,6.2,7,5.4,6,4.6,,,,,,,,,,,,,,
E07000082,Stroud,23,19.0,23,19.2,25,20.8,25,20.8,25,20.8,25,21.0,25,21.0,25,21.0,,,,,,,,,,,,,,
E07000083,Tewkesbury,2,2.1,3,3.2,3,3.2,3,3.2,3,3.2,3,3.2,3,3.2,3,3.2,,,,,,,,,,,,,,
